band,aw,bbw,a0,a1
582,0.0987,0.000752395,0.274625892,0.05728382
583,0.10325,0.000746962,0.272736283,0.056869854
584,0.1078,0.000741529,0.270846674,0.056455889
585,0.11235,0.000736095,0.268957065,0.056041924
586,0.1169,0.000730662,0.267067456,0.055627959
587,0.12145,0.000725228,0.265177847,0.055213994
588,0.126,0.000719795,0.263288238,0.054800028
589,0.13055,0.000714361,0.261398629,0.054386063
590,0.1351,0.000708928,0.25950902,0.053972098
591,0.14383,0.000703963,0.257451642,0.053523605
592,0.15256,0.000698998,0.255394264,0.053075111
593,0.16129,0.000694033,0.253336886,0.052626618
594,0.17002,0.000689068,0.251279508,0.052178124
595,0.17875,0.000684104,0.24922213,0.051729631
596,0.18748,0.000679139,0.247164752,0.051281137
597,0.19621,0.000674174,0.245107374,0.050832644
598,0.20494,0.000669209,0.243049996,0.05038415
599,0.21367,0.000664244,0.240992618,0.049935657
600,0.2224,0.000659279,0.23893524,0.049487163
601,0.2266,0.000654736,0.24249481,0.050322946
602,0.2308,0.000650192,0.24605438,0.05115873
603,0.235,0.000645649,0.24961395,0.051994513
604,0.2392,0.000641105,0.25317352,0.052830297
605,0.2434,0.000636561,0.25673309,0.05366608
606,0.2476,0.000632018,0.26029266,0.054501863
607,0.2518,0.000627474,0.26385223,0.055337647
608,0.256,0.000622931,0.2674118,0.05617343
609,0.2602,0.000618387,0.27097137,0.057009214
610,0.2644,0.000613844,0.27453094,0.057844997
611,0.26551,0.00060968,0.279049032,0.058798818
612,0.26662,0.000605516,0.283567124,0.059752638
613,0.26773,0.000601352,0.288085216,0.060706459
614,0.26884,0.000597188,0.292603308,0.06166028
615,0.26995,0.000593024,0.2971214,0.062614101
616,0.27106,0.00058886,0.301639492,0.063567921
617,0.27217,0.000584696,0.306157584,0.064521742
618,0.27328,0.000580532,0.310675676,0.065475563
619,0.27439,0.000576368,0.315193768,0.066429383
620,0.2755,0.000572204,0.31971186,0.067383204
621,0.27711,0.000568382,0.321954137,0.067821318
622,0.27872,0.000564561,0.324196414,0.068259433
623,0.28033,0.000560739,0.326438691,0.068697547
624,0.28194,0.000556917,0.328680968,0.069135662
625,0.28355,0.000553096,0.330923245,0.069573776
626,0.28516,0.000549274,0.333165522,0.07001189
627,0.28677,0.000545453,0.335407799,0.070450005
628,0.28838,0.000541631,0.337650076,0.070888119
629,0.28999,0.00053781,0.339892353,0.071326234
630,0.2916,0.000533988,0.34213463,0.071764348
631,0.29352,0.000530476,0.341234461,0.07143416
632,0.29544,0.000526964,0.340334292,0.071103972
633,0.29736,0.000523452,0.339434123,0.070773783
634,0.29928,0.00051994,0.338533954,0.070443595
635,0.3012,0.000516428,0.337633785,0.070113407
636,0.30312,0.000512916,0.336733616,0.069783219
637,0.30504,0.000509404,0.335833447,0.069453031
638,0.30696,0.000505892,0.334933278,0.069122842
639,0.30888,0.00050238,0.334033109,0.068792654
640,0.3108,0.000498868,0.33313294,0.068462466
641,0.31372,0.000495636,0.3348392,0.068751096
642,0.31664,0.000492404,0.33654546,0.069039726
643,0.31956,0.000489172,0.33825172,0.069328355
644,0.32248,0.00048594,0.33995798,0.069616985
645,0.3254,0.000482708,0.34166424,0.069905615
